•ÈÀCountry Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Brunei Darussalam,BRN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.2,9.1,9.1,9,9,9,9,9.1,9.3,9.5,9.7,9.9,10.1,10.2,NA
Bulgaria,BGR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,19.2,18.1,17,15.9,15,14.2,13.7,13.3,13,12.6,12,11.5,10.9,10.4,NA
Burkina Faso,BFA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,178.3,173.1,166.3,158.3,149.4,139.9,130.4,121.4,113.5,106.9,101.4,96.6,92.4,88.6,NA
Burundi,BDI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,143.2,138.3,133,127.1,120.9,114.5,108.6,103.5,98.8,94.9,91.2,87.8,84.6,81.7,NA
Cabo Verde,CPV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,29.9,28.5,27.8,27.7,27.9,28.1,28.2,28.1,27.8,27.3,26.6,25.9,25.2,24.5,NA
Cambodia,KHM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,88.3,78.8,71.3,65.4,60.4,55.8,51.5,47.3,43.1,39.3,35.8,32.9,30.6,28.7,NA
Cameroon,CMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,140.2,134.7,129.6,125.1,120.7,116.6,112.8,109,104.8,101,97.4,93.9,90.6,87.9,NA
Canada,CAN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.2,6.1,6.1,6.1,6,5.9,5.8,5.7,5.6,5.4,5.3,5.2,5,4.9,NA
Cayman Islands,CYM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,171.9,170.3,168.4,166.2,163.9,161.3,158.2,154.2,150.2,146.2,142.1,138.5,134,130.1,NA
Chad,TCD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,184.6,181.9,179.4,177,174.6,171.5,168,164,160.1,156,151.6,147.1,142.9,138.7,NA
Channel Islands,CHI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.8,9.5,9.3,9.1,9,8.9,8.9,8.8,8.8,8.7,8.6,8.4,8.3,8.1,NA
China,CHN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,31.6,28.9,26.3,24,21.9,20.1,18.5,17,15.7,14.5,13.4,12.3,11.4,10.7,NA
Colombia,COL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,23.6,22.9,22.2,21.5,20.9,20.3,19.7,19.1,18.5,18,17.4,16.9,16.4,15.9,NA
Comoros,COM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,100.8,100.4,99.4,97.8,95.7,93.5,91.2,88.5,86,83.3,80.9,78.3,75.9,73.5,NA
"Congo, Dem. Rep.",ZAR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,152.4,147.8,143.2,138.4,133.5,128.9,124.5,120.1,116.1,112.2,108.5,104.8,101.7,98.3,NA
"Congo, Rep.",COG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,115.6,109.8,102.9,95.3,87.4,79.9,72.6,66.1,60.6,56.1,52.6,49.6,47.1,45,NA
Costa Rica,CRI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,11.6,11,10.7,10.4,10.3,10.3,10.3,10.2,10.2,10.1,10.1,10,9.9,9.7,NA
Cote d'Ivoire,CIV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,139.7,136.3,132.7,128.8,125.1,121.1,116.5,112.7,109.1,105.9,102.5,99,95.5,92.6,NA
Croatia,HRV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,7.7,7.4,7.1,6.8,6.5,6.2,5.9,5.6,5.4,5.1,4.9,4.7,4.5,4.3,NA
Cuba,CUB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,7.7,7.4,7.1,6.8,6.6,6.4,6.3,6.2,6.1,6,5.8,5.7,5.6,5.5,NA
Curacao,CUW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,CYP,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.8,5.4,5.1,4.8,4.6,4.3,4.1,3.8,3.6,3.4,3.2,3,2.9,2.7,NA
Czech Republic,CZE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6,5.7,5.5,5.2,5,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.5,3.4,NA
Denmark,DNK,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.4,5.3,5.1,4.9,4.7,4.5,4.3,4.2,4,3.9,3.8,3.7,3.6,3.5,NA
Djibouti,DJI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,96,93.5,91,88.5,86,83.5,81,78.5,76.1,73.9,71.7,69.5,67.4,65.3,NA
Dominica,DMA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,15.1,15.1,15.3,15.6,16,16.5,17.1,17.9,18.8,19.6,20.4,21,21.2,21.2,NA
Dominican Republic,DOM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,39.1,38.3,37.5,36.8,36.1,35.5,34.9,34.3,33.8,33.3,32.7,32.2,31.5,30.9,NA
Ecuador,ECU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,31.9,30.9,30,29.1,28.3,27.5,26.8,26,25.2,24.5,23.7,23,22.3,21.6,NA
"Egypt, Arab Rep.",EGY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,41.4,39.2,37.3,35.6,34.1,32.7,31.4,30.2,29,27.9,26.8,25.8,24.8,24,NA
El Salvador,SLV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,29,27.5,26.1,24.8,23.6,22.6,21.6,20.8,20,19.3,18.6,18,17.4,16.8,NA
Equatorial Guinea,GNQ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,143.8,139.6,135.4,131.2,126.9,122.7,118.4,114.6,110.9,107.3,103.7,100.3,97.4,94.1,NA
Eritrea,ERI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,80.4,76.5,72.9,69.5,66.3,63.2,60.4,57.9,55.6,53.5,51.6,49.7,48.1,46.5,NA
Estonia,EST,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.4,8.6,7.9,7.3,6.7,6.1,5.5,5.1,4.6,4.2,3.8,3.5,3.2,2.9,NA
Ethiopia,ETH,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,132.2,124.8,117,109.1,101.3,93.8,86.9,80.8,75.7,71.3,67.7,64.6,61.8,59.2,NA
Faroe Islands,FRO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,FJI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,23.9,23.7,23.7,23.7,23.8,23.9,24,24,23.9,23.7,23.5,23.2,22.9,22.4,NA
Finland,FIN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.1,4,3.9,3.8,3.6,3.5,3.3,3.2,3,2.9,2.7,2.6,2.4,2.3,NA
France,FRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.1,4.9,4.7,4.6,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.3,NA
French Polynesia,PYF,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,GAB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,82.5,80.8,78.8,76.7,74.5,71.9,68.9,66.1,63.3,60.6,57.7,54.8,52.3,50.8,NA
"Gambia, The",GMB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,110.2,106,101.9,97.9,94.2,90.6,87.4,84.3,81.4,78.6,76.1,73.6,71.1,68.9,NA
Georgia,GEO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,31.1,28.9,26.7,24.6,22.7,20.9,19.3,17.9,16.6,15.5,14.4,13.4,12.6,11.9,NA
Germany,DEU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.1,5,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,NA
Ghana,GHA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,94.2,91.3,88.7,86.5,84.4,82.2,79.9,77.4,74.7,71.9,69.2,66.5,64,61.6,NA
Gibraltar,GIB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,GRC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.8,6.3,5.9,5.5,5.2,5,4.8,4.8,4.7,4.7,4.7,4.7,4.6,4.6,NA
Greenland,GRL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,GRD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,15.2,14.9,14.5,14.2,14,13.7,13.5,13.4,13.2,13,12.7,12.5,12.2,11.8,NA
Guam,GUM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,GTM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,46.6,44.8,43.1,41.4,39.9,38.4,36.9,35.7,34.5,33.3,32.1,31.1,30.1,29.1,NA
Guinea,GIN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,155.8,149,142.7,136.7,131.2,125.9,121,116.3,111.9,107.7,104,100.4,97,93.7,NA
Guinea-Bissau,GNB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,165.3,159,152.6,146.2,139.9,133.6,127.6,121.6,115.9,110.4,105.2,100.5,96.2,92.5,NA
Guyana,GUY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,44.8,44,43.4,42.8,42.4,42.1,41.9,41.7,41.5,41.4,41.2,40.8,40.2,39.4,NA
Haiti,HTI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,98.1,95.1,92.4,90,87.7,85.5,83.3,81.2,208.8,77.2,75.2,73.1,71,69,NA
Honduras,HND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,34.2,32.7,31.3,30,28.8,27.6,26.5,25.4,24.4,23.5,22.6,21.8,21.1,20.4,NA
"Hong Kong SAR, China",HKG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,HUN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.8,9.2,8.7,8.3,7.9,7.5,7.2,6.8,6.6,6.4,6.3,6.2,6.1,5.9,NA
Iceland,ISL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,3.6,3.4,3.3,3.1,2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.1,2.1,2,NA
India,IND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,84.3,81,77.7,74.6,71.5,68.5,65.6,62.7,59.9,57.2,54.5,52.1,49.8,47.7,NA
Indonesia,IDN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,47.6,45.4,49.3,41.4,39.6,37.9,36.2,34.7,33.1,31.7,30.4,29.3,28.2,27.2,NA
"Iran, Islamic Rep.",IRN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,30.8,29,27.3,25.7,24.2,22.8,21.4,20.2,19.2,18.3,17.5,16.8,16.1,15.5,NA
Iraq,IRQ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,43,42.3,41.5,40.7,39.9,39.1,38.3,37.5,36.6,35.7,34.8,33.9,32.9,32,NA
Ireland,IRL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.5,6.1,5.6,5.2,4.9,4.6,4.5,4.3,4.2,4.1,4,3.8,3.7,3.6,NA
Isle of Man,IMY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,ISR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.4,6.1,5.8,5.6,5.3,5.1,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4,NA
Italy,ITA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5,4.7,4.5,4.4,4.3,4.2,4.1,4.1,4,3.9,3.8,3.7,3.6,3.5,NA
Jamaica,JAM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,20.9,20.4,20,19.7,19.5,19.2,18.9,18.5,18.1,17.6,17.2,16.7,16.2,15.7,NA
Japan,JPN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.4,3,2.9,2.8,2.7,NA
Jordan,JOR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,26.2,25.5,24.8,24.1,23.4,22.7,22.1,21.5,20.8,20.2,19.6,19,18.5,17.9,NA
Kazakhstan,KAZ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,39,36.8,34.7,32.5,30.3,28.1,25.9,23.7,21.6,19.6,17.9,16.4,15.1,14.1,NA
Kenya,KEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,99.9,95.4,90.6,85.5,80.7,76.1,70.1,65.8,62.1,58.5,55.6,53.4,51.3,49.4,NA
Kiribati,KIR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,66.9,65.7,65.1,64.8,64.8,64.8,64.5,63.9,62.9,61.7,60.4,58.9,57.4,55.9,NA
"Korea, Dem. People‰Ûªs Rep.",PRK,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,44.6,38.7,34.7,32.7,32.2,32.4,32.4,32.1,31.3,30.1,28.7,27.4,26.1,24.9,NA
"Korea, Rep.",KOR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.5,6.4,6,5.6,5.2,4.8,4.5,4.3,4.1,4,3.8,3.7,3.6,3.4,NA
Kosovo,KSV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,KWT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,12.3,12.1,11.9,11.7,11.6,11.5,11.3,11.1,10.8,10.3,9.9,9.4,9,8.6,NA
Kyrgyz Republic,KGZ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,44.4,42.5,40.8,39.3,37.9,36.3,34.4,32.3,30,27.8,25.7,24,22.6,21.3,NA
Lao PDR,LAO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,109.2,105.1,101.1,97.2,93.5,89.8,86.2,82.8,79.7,76.7,74,71.3,69.1,66.7,NA
Latvia,LVA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,15.1,14.3,13.4,12.5,11.8,11.1,10.5,9.9,9.4,9,8.7,8.4,8.2,7.9,NA
Lebanon,LBN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,17.6,16.4,15.2,14.1,13,12.1,11.3,10.7,10.1,9.7,9.3,8.9,8.6,8.3,NA
Lesotho,LSO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,120.4,122,123,123.4,123.2,119.3,116.5,106.5,100.7,96.8,94.1,93.6,92,90.2,NA
Liberia,LBR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,157.6,145.9,134.8,124.7,115.7,107.8,100.9,94.7,89.3,84.5,80.3,76.3,72.9,69.9,NA
Libya,LBY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,26.5,25.5,24.4,23.1,21.7,20.2,18.8,17.6,16.6,17.6,15.1,14.5,13.9,13.4,NA
Liechtenstein,LIE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,LTU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,10.9,10.5,10.2,9.9,9.5,8.8,8.1,7.4,6.7,6.1,5.6,5.3,5.2,5.2,NA
Luxembourg,LUX,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.3,4.1,3.8,3.5,3.3,3,2.8,2.6,2.4,2.3,2.1,2,2,1.9,NA
"Macao SAR, China",MAC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia, FYR",MKD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,14.5,14.2,14,13.7,13.2,12.5,11.8,11,9.9,8.6,7.4,6.6,6,5.5,NA
Madagascar,MDG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,97.2,91.5,85.9,80.6,75.4,70.8,66.7,63.3,60.3,57.8,55.5,53.4,51.5,49.6,NA
Malawi,MWI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,148,135.2,124.6,116.2,109.9,104.9,100,95.4,90.9,84.5,77.3,71.3,66.9,64,NA
Malaysia,MYS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.9,8.5,8.3,8.2,8.1,8,8,8,8,7.9,7.7,7.5,7.2,7,NA
Maldives,MDV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,34.3,29.9,28.8,22.8,20.1,17.8,16,14.4,13,11.8,10.7,9.9,9.2,8.6,NA
Mali,MLI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,201.8,191.8,181.7,171.8,162.9,155.1,148.3,142,136.6,131.7,127,122.7,118.3,114.7,NA
Malta,MLT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,7.3,7.2,7,7,6.9,6.8,6.8,6.8,6.7,6.7,6.7,6.6,6.5,6.4,NA
Marshall Islands,MHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,41.1,40.7,40.4,40.2,39.9,39.7,39.5,39.3,39.1,38.8,38.3,37.8,37,36,NA
Mauritania,MRT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,112.9,112.4,111.4,109.8,107.9,105.5,103,100.4,97.8,95.4,92.7,90.2,87.5,84.7,NA
Mauritius,MUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,16.1,15.6,15.6,15.7,15.9,16,15.8,15.5,15.2,14.9,14.6,14.3,13.9,13.5,NA
Mexico,MEX,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,22.6,21.4,20.4,19.5,18.9,18.4,17.9,17.4,16.8,16,15.3,14.5,13.8,13.2,NA
"Micronesia, Fed. Sts.",FSM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,51.6,50.2,48.8,47.4,45.9,44.6,43.1,42,40.7,39.4,38.2,37,35.8,34.7,NA
Moldova,MDA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,25.4,23,21.1,19.7,18.7,18.1,17.7,17.4,17.2,16.9,16.7,16.4,16.1,15.8,NA
Monaco,MCO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,NA
Mongolia,MNG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,54.3,50.4,46.8,43.4,40.3,37.4,34.8,32.3,30,28,26.2,24.7,23.5,22.4,NA
Montenegro,MNE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,12.6,11.9,11.1,10.4,9.6,8.9,8.1,7.4,6.8,6.2,5.7,5.3,5,4.7,NA
Morocco,MAR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,45.8,43.9,42.1,40.4,38.8,37.3,35.8,34.5,33.1,31.9,30.7,29.7,28.6,27.6,NA
Mozambique,MOZ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,154.5,147.1,140.2,133.8,127.8,120.1,113.6,107.6,102.8,97.5,90.9,85.6,81.2,78.5,NA
Myanmar,MMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,77.5,75.2,72.8,70.5,68.1,65.8,87.2,61.4,59.3,57.2,55.3,53.5,51.7,50,NA
Namibia,NAM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,75.8,75.2,73.9,71.7,68.4,64,60.1,56.7,53.8,51.6,49.9,47.7,46.4,45.4,NA
Nauru,NRU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,39.5,39,38.8,38.7,39,39.3,39.7,39.7,39.4,38.8,38.1,37.2,36.3,35.4,NA
