,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],Country Name,Series Code,Series Name
13394,3244.015740059869,3932.089592350785,5304.34730491641,5765.2036406042325,6155.884861382441,6290.274125928382,6699.390384804311,7360.162289987805,8066.0848908382795,9553.451411930595,10052.493124094017,9283.010412463986,9988.90453016077,9033.236053134535,9009.808661596602,9216.1645241835,11298.040477070686,14138.697454261703,14192.518595401141,14668.306382947754,14526.05292079817,14017.87241331703,14506.680210103332,16178.475890624226,17450.531286035497,18756.982379818925,17065.473248269092,16473.740903285638,17145.388442818723,15470.174052000104,15967.998481567318,18588.18186744328,23891.23703228425,26097.640720560194,27328.55590442402,30189.712014358258,Australia,NY.ADJ.NNTY.PC.CD,Adjusted net national income per capita (current US$)
13395,17.5920638302196,17.9849443205112,16.5049445478233,12.9302738783773,13.0463503755,11.4863075317146,10.2566962775428,10.1588679864987,10.6584459160887,11.5927560106438,9.30289494341114,7.92263115995268,9.62399288962557,8.56498190340039,8.54521215226332,8.90399881451742,10.4162528984629,11.027329658861,8.75147002250366,5.55199109320521,4.34469012135718,6.97671152479932,8.24984742810147,7.69684563702773,8.37204703423713,8.86457290761782,8.36853253872014,7.97796957668551,7.30362912391121,6.73578346175975,7.9172607426613,7.22578775847131,7.42136419928628,6.20431659185046,6.59914531222042,4.95897000076527,Australia,NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
13396,9133281643.44379,11509442651.1325,14659358486.1529,12624453390.089,13724569825.2487,12603712603.709,12023911395.2481,13560121152.0795,15847654303.2687,20473132837.188,17735446223.2982,13956584164.4883,18434539613.3494,15272170155.9274,15331231951.0483,16585406473.6534,24177393178.137,32221244883.1879,26344180821.955,17396761668.1604,13618162712.0793,21232546978.814,26091604977.2951,27405125231.9822,32472489866.2546,37356633883.1247,32410850282.9732,30114060510.3566,29503166486.7067,24847862018.2451,30437542722.8541,32768589772.4021,44096618455.5757,41367381156.4266,47252271859.8252,40292828463.7826,Australia,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)"
13397,,,,,,,,,,,,,,,,,,,8.47759825671062,5.29113498827247,4.11566097026469,6.76404318086071,8.04702841134037,7.52095453398039,8.21741071672319,8.70472881184381,8.23650673111575,7.86686582416746,7.2159593191693,6.66454729338498,7.87299699367158,7.191893579004,7.39101643473449,6.18441043857945,6.57981664390462,4.95114666055322,Australia,NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)"
13398,,,,,,,,,,,,,,,,,,,25519756205.116,16579387970.8658,12900284990.4772,20585323629.0263,25450153882.189,26778853388.4865,31872705102.398,36683026995.7497,31899521843.494,29694682485.1466,29149022430.2006,24585076480.0025,30267372787.2236,32614881346.4475,43916296649.7076,41234656557.7493,47113871590.285,40229261935.8284,Australia,NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)"
13399,0.446749368107919,0.420228860228961,0.336813143250088,0.346245044830492,0.340583448806783,0.378730307208903,0.41291650728925,0.403431852178129,0.430401893664627,0.418449755879499,0.422901102509065,0.46261556855031,0.469626589549746,0.536176949887382,0.548174014788084,0.586681834788014,0.502401219881925,0.445705851673212,0.470250900624927,0.463724376806658,0.502187320979561,0.54876981383984,0.54885306454761,0.509286393524427,0.516231838468653,0.495695499752575,0.573851141466655,0.567199280194586,0.554719937419977,0.619410875779407,0.641438333331628,0.570751059478454,0.456123201783631,0.441581699349989,0.439023526070564,0.408828741877267,Australia,NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI)
13400,231939119.954253,268924934.153955,299150633.038763,338055827.055722,358288807.975814,415573754.506893,484061471.933403,538503384.374494,639948870.216934,738994026.092173,806237177.453589,814948088.320895,899559057.017733,956054047.132934,983496116.948663,1092807501.81629,1166134496.22113,1302327747.23412,1415576437.54645,1453046722.8045,1574075125.73222,1670096407.38221,1735845114.17439,1813347707.83727,2002298013.22883,2088934852.78421,2222492813.97112,2140980017.66343,2240803084.26625,2284965967.41044,2465980003.62118,2588327799.73184,2710214760.74745,2944253117.69355,3143567541.74357,3321832228.26165,Australia,NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$)
13401,16.1330645034538,15.7125057485475,15.1496258903417,15.1808619794532,14.8172467306056,15.3320843025806,14.9837664424937,15.1632239594739,15.1740988241679,15.0636268551973,16.1713451650725,15.6682097406447,15.5942318946388,16.2302053329354,17.0123640690446,16.7321313379936,16.4474606197361,16.5836587090533,17.0216514341898,17.2647684174766,17.2699978207334,17.081010457466,16.6528305183458,16.4717628912167,16.0687272207828,16.2125726908913,16.2307052472888,16.1120490079918,16.3774670549097,16.233895440027,16.0963351274588,15.9573249642754,16.1355024854923,16.3191290941917,16.4115915791946,16.405497932688,Australia,NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI)
13402,8375812144.83633,10055198425.7329,13455591820.6287,14821811686.5622,15587526895.9531,16823612255.8977,17565449458.234,20239967112.4623,22561813834.9851,26602788269.9448,30829760443.1909,27601270782.0503,29870396715.6254,28939986132.5829,30522413596.147,31166805520.9887,38176561769.5366,48456529808.5785,51239558853.2564,54097900441.9525,54131740996.6479,51983424525.2375,52667528633.1342,58648795378.4185,62325447970.6858,68322202166.8644,62860597759.8787,60817381428.7812,66157129415.246,59885772190.0441,61881615883.0609,72365678746.4067,95874704109.0067,108808057001.329,117512943004.371,133298631361.498,Australia,NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$)
13403,4.98122738105955,4.98122738105955,4.98122738105955,4.98122738105955,4.98122738105955,4.98122738105955,5.10971,5.03579,4.96753,5.029,5.02209,5.03412,5.09542,5.00976,4.87435,4.67466,4.58702,4.45841,4.40693,4.35295,4.51244,5.21431,5.15412,4.99229,5.16759,4.86749498590854,4.74634,4.78154,4.81674,4.833782,4.850824,4.867866,4.884908,4.90195,4.80356,4.67449,Australia,NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI)
13404,2586106612.6363,3187730239.96365,4424225580.91071,4863413837.10222,5240178367.06093,5465808585.67949,5990106232.3483,6721804298.1938,7386039090.58496,8881355300.12771,9574332255.21351,8868154790.45391,9760161184.02463,8932874350.84759,8745223539.10184,8707451319.48121,10647032780.1222,13027226431.3981,13265995368.9111,13639653312.1419,14143964340.8444,15868949381.6048,16300818193.0128,17775376965.6222,20043427040.2124,20512350680.7949,18382304713.559,18048650538.0373,19457324534.447,17831503765.5468,18648768499.6233,22075531326.5346,29025381113.5297,32683830855.1346,34395230333.0338,37981359777.6556,Australia,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$)
13405,0.261816854949211,0.428407731831951,1.19075539272283,1.37862077461286,1.45010200907641,1.64094956946542,1.49227469906334,2.97482739964493,3.16864278755693,2.89033213635632,2.52877534926839,2.13015356742152,2.16694118854169,2.63635320195878,1.27259342360252,1.43867386578781,0.902231799337459,0.776824881989853,1.20102450014563,0.991192752944911,0.874386253464457,0.870173687977907,0.746919071878301,0.760423377969411,0.85831796252864,0.730277689199725,0.561214601386798,0.572003217277983,1.4113111888581,1.41040853681875,1.32324548757295,1.48653933700114,1.70645968647477,1.84385219963463,1.84127547380864,2.11716174246301,Australia,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
13406,135927603.397172,274158992.819248,1057604896.56088,1346014313.03114,1525486109.48523,1800583582.98499,1749391643.60306,3970818402.14107,4711339336.24872,5104407762.64817,4820968041.72947,3752499257.73156,4150726589.06798,4700866288.51532,2283199598.67367,2679806157.23008,2094190028.12601,2269839165.80708,3615393359.29564,3105830647.18779,2740709680.1566,2648239595.98217,2362263974.37041,2707537462.14224,3329140558.60596,3077499226.72581,2173552213.36665,2159113209.40186,5701021815.73189,5202904296.31354,5087156072.02385,6741382302.24388,10139524174.2126,12293914343.2157,13184199641.1441,17202450288.2616,Australia,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
13407,30.7216472285904,31.2121144931567,29.9046500064243,26.2590361346975,26.2890400861124,25.526773556186,23.5075643469713,25.4958760350295,26.418696527335,26.2335645285495,24.6715844354623,22.3623672237236,23.9387504524425,24.2606596108885,23.7774736925564,24.3460416009567,25.8612972417721,25.6531495636962,24.3576454355811,20.7523227966439,19.256656002311,20.9356874201795,21.7466336941538,21.0984047928433,21.3378438377907,22.0744686999292,21.749164809725,21.1647554190256,21.748409072963,21.1096895804803,22.0854792649824,21.3799736801669,22.0634678610157,21.9156959169981,23.2380878629999,23.3073932670436,Australia,NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI)
13408,0.849114574221885,1.19780512962461,1.35506678147737,1.03187627676191,1.23626319962988,1.27729029725227,0.974313671118897,1.1501327392621,1.29466864930365,0.862635206965093,0.86841907256014,0.809525971345326,0.870825672052476,0.985715403796309,0.84699738954463,0.954894049603975,1.84483155001357,1.01264582084288,1.01667335423079,0.833596156210531,0.777834485776411,0.673331936096404,0.70230361128066,0.652376493105037,0.69010978177346,0.638844898376303,0.761201280862669,0.717074336875805,0.918021767864066,0.943973266095387,0.958023573957763,1.00743656094059,1.22892628797874,2.00876633197133,2.75061197170561,4.09142484925,Australia,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
13409,440835289.63779,766533896.406024,1203542954.34297,1007470845.77254,1300530808.79758,1401546996.16253,1142186619.91218,1535204444.63836,1924995571.86601,1523438013.01575,1655592141.41028,1426068830.45754,1668046779.73921,1757623488.51191,1519624464.51394,1778673412.01047,4282078993.9434,2958894853.30627,3060448885.94124,2612013134.32172,2438074130.60353,2049182041.52262,2221159671.05585,2322829420.65719,2676714882.70418,2692187793.53001,2948089242.06209,2706706231.89731,3708368620.06625,3482255271.12217,3683077317.98145,4568674930.76851,7302093277.70722,13393481986.0749,19695378495.0359,33243814662.6915,Australia,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
13410,1.53099690786865,2.07566294492868,2.89449380606888,2.782882613096036,3.066086912259572,3.3108787957414547,2.963895119645482,4.806142236878764,5.123279893413743,4.187731906828983,3.7965332244696373,3.3430307545759232,3.346319078628429,3.939055424665347,2.5460734564604053,2.797889613657667,3.082202503691173,2.054865344108684,2.5212030782627126,1.824788909155442,1.6522207392408679,1.543505624074311,1.449222683158961,1.4127998710744478,1.5484277443021002,1.369122587576028,1.3224158822494672,1.289077554153788,2.329332956722166,2.354381802914137,2.281269061530713,2.4939758979417297,2.93538597445351,3.85261853160596,4.59188744551425,6.20858659171301,Australia,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
13411,0.420065478697554,0.449450083472119,0.34867163186868,0.372385561721266,0.379721703553282,0.392638929023765,0.497306749463245,0.681182097971734,0.659968456553163,0.43476456350757,0.399338802641107,0.403351215809077,0.308552218034263,0.316986818910258,0.426482643313255,0.404321698265882,0.335139154340144,0.265394641275951,0.303505223886293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
13412,218085630.126145,287625019.465284,309683103.187948,363578081.277442,399461679.671443,430835427.728176,582992040.516713,909246166.738301,981283015.634467,767806434.761517,761316977.370994,710547427.695938,591024759.824061,565217380.51328,765165827.509608,753126752.546739,777898845.473086,775468403.664421,913628964.951994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
13413,14.5885827251366,15.4996087446093,14.7550241160827,11.0781741552443,11.4717933555068,10.1946892536054,8.52379790447757,10.3326520755556,11.244597703167,11.1699376733523,8.50023927038984,6.69415748307891,8.34451855780374,8.03045427795312,6.76510962351181,7.6139102629631,9.41383662203603,9.06949085464287,7.3359940013913,3.48755437916731,1.98665818157761,3.85467696271347,5.09380317580804,4.62664190162661,5.26911661700788,5.86189600903788,5.51845956243626,5.05270641103388,5.37094201805336,4.8757941404533,5.98914413752364,5.4226487158915,5.92796537552342,5.59656682280642,6.82649628380523,6.90189533435555,Australia,NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI)
13414,7573962673.92284,9918955254.01336,13105114492.3727,10816158620.1236,12068158864.1178,11186443779.4121,9992436938.86511,13792089251.7779,16719182006.6499,19726423773.5779,16205228306.0491,11792492978.2403,15983735614.9737,14319057009.7533,12137494419.5923,14182368977.7758,21850662761.7784,26500548621.8017,22083233100.7792,10927998860.3325,6227057307.7272,11731115642.0961,16110055543.883,16473462856.9967,20437216280.5812,24702905075.3698,21372679838.8141,19072209431.2819,21696035472.324,17986483787.5444,23024987616.8573,24591443478.6117,35223069554.7133,37315199748.2763,48880187204.7149,56079565865.3417,Australia,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$)
13415,,,,,,,,,,,,,,,,,,,0.273871765793037,0.260856104932735,0.229029151092494,0.212668343938608,0.2028190167611,0.175891103047337,0.154636317513938,0.159844095774011,0.132025807604388,0.111103752518045,0.0876698047419102,0.0712361683747685,0.0442637489897177,0.0338941794673143,0.0303477645517964,0.0199061532710161,0.0193286683157941,0.00782334021204613,Australia,NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI)
13416,,,,,,,,,,,,,,,,,,,824424616.83892,817373697.294528,717877721.602083,647223349.787701,641451095.106109,626271843.495775,599784763.856602,673606887.374962,511328439.479172,419378025.210032,354144056.50605,262785538.242687,170169935.630458,153708425.954594,180321805.868106,132724598.677317,138400269.540206,63566527.9542207,Australia,NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$)
13417,48.5,45.1672,41.8344,38.50159,35.16879,31.836,30.687,29.538,28.389,27.24,26.091,25.0928,24.0946,23.0964,22.0982,21.1,21.146,21.192,21.238,21.284,21.33,20.9136,20.4972,20.0808,19.6644,19.248,18.7432,18.2384,17.7336,17.2288,16.724,16.5842,16.4444,16.3046,16.1648,16.025,Australia,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
13418,58.43465300499832,57.935205955550565,57.399299359105015,56.81607517599338,56.183180720944534,55.51360409630139,54.83170169484507,54.16949613434434,53.55017365843218,52.98762037004012,52.479117248407405,52.01169962907524,51.565683468873694,51.1312303988798,50.696674924453625,50.27609612406538,49.91155217143318,49.65534870366148,49.535548724775495,49.563700429549996,49.71084712635613,49.9149955777335,50.0929559122667,50.186012257212994,50.177496681676494,50.08566076069284,49.93076789938268,49.74514997698359,49.55262658779125,49.36930651184929,49.192859599402055,49.009107534698316,48.79770634154542,48.55446594307048,48.26666233044222,47.966259230576156,Australia,SP.POP.DPND,Age dependency ratio (% of working-age population)
13419,13.229949814794843,13.379875039955957,13.560290547013972,13.751514771163453,13.952244433282585,14.165016873420907,14.379008283570371,14.582176185946613,14.767049378525215,14.928334499675925,15.069878406469343,15.204186656796967,15.348262322978714,15.513431862430108,15.699300149968536,15.900571762262212,16.116837459659394,16.347684206385274,16.592057058189884,16.853909735658878,17.13055778522077,17.40668245495996,17.66111055163088,17.87896662848857,18.054263364986717,18.193231904270686,18.308284774707207,18.417348917294877,18.53328172558729,18.665700366079065,18.81253221842708,18.961627801251097,19.095318757652926,19.205160583169615,19.28211321027195,19.342040361301,Australia,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
13420,45.204703190203475,44.5553309155946,43.83900881209104,43.06456040482993,42.230936287661955,41.34858722288048,40.4526934112747,39.587319948397734,38.783124279906964,38.05928587036419,37.409238841938055,36.80751297227827,36.21742114589498,35.61779853644969,34.99737477448509,34.37552436180318,33.794714711773786,33.3076644972762,32.943491666585615,32.709790693891115,32.580289341135355,32.508313122773544,32.43184536063582,32.307045628724424,32.12323331668978,31.892428856422157,31.622483124675476,31.32780105968871,31.019344862203962,30.703606145770223,30.380327380974975,30.04747973344721,29.70238758389249,29.349305359900868,28.98454912017027,28.624218869275158,Australia,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
13421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5499231950844854,0.5693512304250559,0.5410693970420933,0.5457726477471541,0.5402685392980777,0.5853882853365523,0.45199307084985507,Australia,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land)
13422,63.06145295028832,63.39468648711974,63.48710672585033,63.37125600406128,63.493094515965275,62.3004829282897,62.02960051026385,62.54337893599573,62.862163674941094,62.83808234513102,62.23149317261758,61.326035171758456,61.57517930828007,61.56489592960441,61.29479452768051,61.312367389974355,61.47677127943454,60.79910964164378,60.461190008200674,60.26502479726123,60.682087395701814,59.91512958358825,61.06244223735079,60.313708134282706,60.557515327441,60.16427372010986,60.370722309724954,59.06160915350871,59.29213907293389,59.318172942998835,58.185699595173325,57.20942946773753,57.28883277143564,57.944756127722165,56.61390469000169,55.380419926324144,Australia,AG.LND.AGRI.ZS,Agricultural land (% of land area)
13423,4844570.0,4870170.0,4877270.0,4868370.0,4877730.0,4786110.0,4765300.0,4804770.0,4829260.0,4827410.0,4780810.0,4711250.0,4730390.0,4729600.0,4708850.0,4710200.0,4722830.0,4670770.0,4644810.0,4629740.0,4661780.0,4602860.0,4691000.0,4633480.0,4652210.0,4622000.0,4637860.0,4537290.0,4555000.0,4557000.0,4470000.0,4395000.0,4401100.0,4451490.0,4349250.0,4254490.0,Australia,AG.LND.AGRI.K2,Agricultural land (sq. km)
13424,333046.0,334448.0,332560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia,AG.AGR.TRAC.NO,"Agricultural machinery, tractors"
13425,81.99871971636793,83.16292023075394,78.95349113268915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia,AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land"
13426,,,,,,,,,,,,,,,,,,,65.70958455456697,,,,,,,,,,61.496847250993895,,,,,57.4518466565504,,,Australia,EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total)
13427,,,,,,,,,,,,,,,,,,,75597.3,,,,,,,,,,78549.8,,,,,70118.6,,,Australia,EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent)
13428,,,,,,,,,,,,,,,,,,,79.88031794707541,,,,,,,,,,74.87196313490871,,,,,77.57738623077935,,,Australia,EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total)
13429,,,,,,,,,,,,,,,,,,,50378.2,,,,,,,,,,56591.0,,,,,48903.0,,,Australia,EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
13430,18.490750590259672,23.248799832323076,14.54511013133224,11.26250360810069,14.325476128062814,13.269885282117267,13.560459941781225,12.864621597586723,10.711611838110722,11.25690073517692,10.840388088985046,10.83847500860429,9.942111642783498,11.567347860625603,12.52203946153538,15.50249493488168,18.971667221349218,15.28250476202208,10.46960037457851,10.53895964720038,10.278014232454726,8.01595678377391,8.847539080467387,8.341132311160662,7.485201636221213,8.064125383834316,6.99618583813007,6.336334080015823,5.654583335648379,5.894059234738354,5.3572653040284095,3.6570507634631726,4.316033119947386,3.4580277552537537,3.0603759779049517,3.0461638147478265,Australia,TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports)
13431,4.36286206539512,5.394744497827244,4.195488511913357,2.9612994772465964,3.623125502057309,3.0646253514510327,2.8784374495761376,3.1013761451328423,2.843225746599678,2.4197664411543602,2.0120131304194087,2.24132070636021,2.3951559906589415,2.1723517763382376,2.0310404409322014,2.3355644438265695,2.6754890106818205,2.3405710093277086,2.0673958219199666,1.8491728333573973,1.9188535905580162,1.9809789062419976,1.8011188834576457,1.6663314388194725,1.4223295696442435,1.3374619004583732,1.2453012187984729,1.2256315594357554,1.3416130500223826,1.068139856547903,1.1101829973269226,0.8997462234299967,1.0097212360166972,0.8992358282885461,0.8363234167033089,0.8289520640169338,Australia,TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports)
13432,,,,,,,,,24303.57664376132,21306.779498308017,24791.96648283468,19415.994369206033,27696.308874589406,27501.80535793439,25128.182429516135,25229.424918047516,24416.82422160809,25165.316595458193,26995.278116785146,28860.72376564685,27627.441841864525,29399.28175260864,30684.865425497443,26130.868312543822,31872.525964361885,34881.43258095614,35093.568930653084,38767.834218993485,41208.34724165749,42908.01367304982,44220.64749159851,34875.97671714208,43876.77594329756,45121.16927694881,45929.31386060006,39100.11862341192,Australia,EA.PRD.AGRI.KD,Agriculture value added per worker (constant 2005 US$)
13433,7.033741759142796,8.550115911800965,9.590900300179381,7.231729840609552,6.316059784644604,6.152599828510991,5.454672038835734,7.758435544037486,7.877186636939622,6.692599805672467,6.100922655993852,4.43580197886015,6.1332140170735565,5.6738430387375205,5.091244733199901,4.958246096353677,5.208420676323685,5.364689772512271,4.584429282881825,3.477642791626271,3.3474417193374033,3.5463782366437235,3.6390613227823816,3.308578250640823,3.713981272730265,3.5528164404226175,3.315436984557481,3.326680322846088,3.3848468720637612,3.8356563984241534,4.307360091593539,3.17920142970329,3.3768006701232074,3.1597808727553445,2.975597121801094,2.4002393358430356,Australia,NV.AGR.TOTL.ZS,"Agriculture, value added (% of GDP)"
